Date,value
"June 28, 2022",79.003
"June 29, 2022",78.923
"June 30, 2022",78.962
"July 1, 2022",
"July 2, 2022",
"July 3, 2022",
"July 4, 2022",
"July 5, 2022",
"July 6, 2022",
"July 7, 2022",
"July 8, 2022",
"July 9, 2022",
"July 10, 2022",
